"cd","descrip"
"01","Aguascalientes"
"02","Mexicali"
"03","Tijuana"
"04","La Paz"
"05","Campeche"
"06","Saltillo"
"07","Torreón"
"08","Piedras Negras"
"09","Colima"
"10","Manzanillo"
"11","Tuxtla Gutiérrez"
"12","Tapachula"
"13","Chihuahua"
"14","Ciudad Juárez"
"15","DF Norte"
"16","DF Sur"
"17","DF Oriente"
"18","DF Poniente"
"19","Durango"
"20","León"
"21","Acapulco"
"22","Chilpancingo de los Bravo"
"23","Pachuca"
"24","Guadalajara"
"25","Puerto Vallarta"
"26","Toluca"
"27","Ecatepec de Morelos"
"28","Ciudad Nezahualcóyotl"
"29","Morelia"
"30","Uruapan"
"31","Lázaro Cárdenas"
"32","Cuernavaca"
"33","Tepic"
"34","Monterrey"
"35","Oaxaca"
"36","Puebla"
"37","Querétaro"
"38","Cancún"
"39","San Luis Potosí"
"40","Culiacán"
"41","Mazatlán"
"42","Los Mochis"
"43","Hermosillo"
"44","Nogales"
"45","Villahermosa"
"46","Tampico"
"47","Reynosa"
"48","Nuevo Laredo"
"49","Tlaxcala"
"50","Veracruz"
"51","Coatzacoalcos"
"52","Mérida"
"53","Zacatecas"
"54","Fresnillo"
